"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemset",16,3965946384,247871649,78.66456592807522
"hipStreamCreateWithFlags",384,406958141,1059786,8.072016717576844
"hipFuncGetAttributes",8,356661855,44582731,7.074389638717088
"hipStreamDestroy",372,167242558,449576,3.3172569560816694
"hipIpcOpenMemHandle",400,71238023,178095,1.4130065347018668
"hipMemcpyAsync",1012,18006729,17793,0.3571635578040341
"hipHostMalloc",20,14186359,709317,0.28138650016475947
"hipStreamSynchronize",504,10812168,21452,0.2144594051731954
"hipExtMallocWithFlags",384,8952806,23314,0.17757895080718453
"hipStreamCreate",4,4361258,1090314,0.08650557376530219
"hipMemsetAsync",760,3552833,4674,0.07047045993548189
"hipLaunchKernel",80,2813157,35164,0.055798982856982135
"hipMemcpyDtoH",4,2619822,654955,0.05196418218618607
"hipIpcGetMemHandle",376,2366730,6294,0.04694410112805838
"hipDeviceGetPCIBusId",2324,1334987,574,0.02647947367576499
"hipMalloc",392,974901,2486,0.019337166104221964
"hipEventSynchronize",4,945907,236476,0.018762069972383128
"hipFree",40,761307,19032,0.01510052806931874
"hipThreadExchangeStreamCaptureMode",2848,706504,248,0.014013510296222113
"hipGetDevice",780,203050,260,0.004027497743321906
"hipGetDeviceCount",932,190985,204,0.0037881884092998484
"hipDeviceCanAccessPeer",512,142891,279,0.002834243684023691
"hipEventRecord",16,142409,8900,0.002824683211665744
"hipStreamWaitEvent",140,134510,960,0.002668006508023785
"hipMemcpyHtoD",4,102100,25525,0.0020251539994738566
"hipGetDevicePropertiesR0600",52,41179,791,0.0008167856664479329
"hipSetDevice",32,40118,1253,0.0007957407262575141
"hipPointerGetAttributes",32,25651,801,0.000508787710484857
"hipDeviceGetAttribute",20,24972,1248,0.0004953197421631846
"hipEventCreateWithFlags",12,22680,1890,0.0004498579109507059
"hipDeviceSynchronize",8,21881,2735,0.00043400974204199275
"__hipPushCallConfiguration",80,19900,248,0.000394716597350928
"__hipPopCallConfiguration",80,18892,236,0.0003747229124197855
"hipEventCreate",8,9943,1242,0.00019721945364121994
"hipEventElapsedTime",4,6530,1632,0.000129522581944802
"hipFuncSetAttribute",8,1780,222,3.530630870777145e-05
